MESS_DATUM,PP_10,TT_10,TM5_10,RF_10
2019-01-01 00:00:00,1020.7,7.9,7.2,88.1
2019-01-01 00:10:00,1020.5,7.7,7.1,89.7
2019-01-01 00:20:00,1020.4,7.5,7.1,93.0
2019-01-01 00:30:00,1020.2,7.5,7.1,93.1
2019-01-01 00:40:00,1020.2,7.5,7.1,92.9
2019-01-01 00:50:00,1019.9,7.5,7.0,92.1
2019-01-01 01:00:00,1020.0,7.4,6.9,91.9
2019-01-01 01:10:00,1019.8,7.3,6.9,92.2
2019-01-01 01:20:00,1019.6,7.3,6.8,92.0
2019-01-01 01:30:00,1019.5,7.3,6.8,91.9
2019-01-01 01:40:00,1019.2,7.2,6.7,92.1
2019-01-01 01:50:00,1019.0,7.2,6.7,91.8
2019-01-01 02:00:00,1018.9,7.2,6.7,91.8
2019-01-01 02:10:00,1018.8,7.2,6.7,91.4
2019-01-01 02:20:00,1018.8,7.3,6.7,90.1
2019-01-01 02:30:00,1018.7,7.3,6.7,89.2
2019-01-01 02:40:00,1018.5,7.3,6.8,88.9
2019-01-01 02:50:00,1018.4,7.4,6.8,86.8
2019-01-01 03:00:00,1018.1,7.4,6.8,85.3
2019-01-01 03:10:00,1018.0,7.4,6.7,83.6
2019-01-01 03:20:00,1017.7,7.6,6.8,81.0
2019-01-01 03:30:00,1017.5,7.5,6.7,82.1
2019-01-01 03:40:00,1017.4,7.5,6.7,81.6
2019-01-01 03:50:00,1017.2,7.4,6.7,82.4
2019-01-01 04:00:00,1016.9,7.5,6.8,81.6
2019-01-01 04:10:00,1017.0,7.5,6.7,81.0
2019-01-01 04:20:00,1016.6,7.5,6.8,80.7
2019-01-01 04:30:00,1016.6,7.3,6.4,82.4
2019-01-01 04:40:00,1016.4,7.2,6.3,83.7
2019-01-01 04:50:00,1016.4,7.1,6.2,85.6
2019-01-01 05:00:00,1016.2,7.0,6.2,86.6
2019-01-01 05:10:00,1016.1,7.0,6.2,88.1
2019-01-01 05:20:00,1015.9,6.9,6.3,88.5
2019-01-01 05:30:00,1015.5,6.9,6.3,89.4
2019-01-01 05:40:00,1015.4,6.8,6.3,90.9
2019-01-01 05:50:00,1015.2,6.8,6.3,91.9
2019-01-01 06:00:00,1015.2,6.7,6.3,92.5
2019-01-01 06:10:00,1015.0,6.8,6.3,91.8
2019-01-01 06:20:00,1014.9,6.8,6.3,92.4
2019-01-01 06:30:00,1014.9,6.8,6.3,92.7
2019-01-01 06:40:00,1014.8,6.8,6.4,92.6
2019-01-01 06:50:00,1014.6,6.8,6.4,92.5
