RWS_DAU_10,RWS_10,DS_10,GS_10,SD_10,FF_10,DD_10,PP_10,TT_10,TM5_10,RF_10,load
53,0.04,0.0,0.0,0.0,32.5,1580,6121.9,45.6,42.6,548.9,427.41983484894746
55,0.03,0.0,0.0,0.0,39.3,1580,6117.1,43.7,40.8,551.9,591.964496800301
40,0.03,0.0,0.0,0.0,40.5,1580,6112.1,43.7,40.4,538.2,675.7260426748812
0,0.0,0.0,0.0,0.0,38.4,1560,6105.9,44.8,40.4,496.0,704.4495281005393
28,0.0,0.0,0.0,0.0,44.1,1560,6099.9,44.1,39.2,495.0,500.5771029497479
60,0.0,0.0,0.0,0.0,40.9,1560,6094.3,41.4,37.6,535.4,332.33840380007933
53,0.06,0.0,0.0,0.0,50.0,1580,6089.4,40.7,38.0,554.5,371.3833772500405
57,0.06,0.0,0.0,0.0,52.9,1620,6086.5,41.3,39.0,559.4,377.92995882458024
51,0.14,0.9,0.9,0.0,55.9,1620,6085.1,42.6,40.4,562.3,355.47560682492445
59,0.2,6.5,6.5,0.0,56.599999999999994,1660,6084.0,44.2,42.4,564.9,492.5423510252213
28,0.7799999999999999,17.2,17.4,0.0,50.0,1800,6086.3,44.1,41.7,521.8,478.66925235069834
7,0.0,48.8,64.7,0.434,52.1,1800,6084.2,46.9,49.5,472.3,722.4061537246766
0,0.0,33.2,34.3,0.051000000000000004,62.3,1730,6081.1,45.2,44.6,440.90000000000003,935.0598978495977
0,0.0,24.9,29.0,0.267,65.8,1730,6079.0,45.1,43.3,414.5,915.2818447999066
29,0.53,10.7,12.4,0.167,67.9,1740,6077.3,40.3,36.2,442.1,1211.635060299926
16,0.15,0.4,0.5,0.0,62.2,1810,6080.1,33.7,27.2,473.4,1014.8556691756025
24,0.09000000000000001,0.0,0.0,0.0,60.1,1850,6083.8,28.7,22.599999999999998,475.5,804.0866258996714
10,0.0,0.0,0.0,0.0,58.3,1780,6085.6,27.1,19.9,446.2,1275.1198889254024
9,0.0,0.0,0.0,0.0,56.8,1750,6086.099999999999,25.9,19.6,449.0,1241.6375607494815
3,0.0,0.0,0.0,0.0,60.1,1730,6086.8,23.7,18.7,450.5,1227.3772739751078
10,0.0,0.0,0.0,0.0,64.2,1800,6088.2,24.2,19.4,442.6,734.4080832499028
38,0.5900000000000001,0.0,0.0,0.0,56.0,1780,6090.7,16.4,12.2,505.2,733.6634933505761
40,0.6,0.0,0.0,0.0,60.6,1760,6090.3,17.5,12.3,493.4,579.4159325996018
52,0.02,0.0,0.0,0.0,54.400000000000006,1760,6093.9,17.3,13.1,515.3,568.8991642749952
24,0.37,0.0,0.0,0.0,51.1,1770,6096.7,15.7,11.8,537.0,423.5420843750572
0,0.0,0.0,0.0,0.0,41.2,1800,6099.3,18.1,11.5,528.6,427.5810652003
0,0.0,0.0,0.0,0.0,37.5,1840,6104.9,20.5,12.3,502.4,352.1222034749482
0,0.0,0.0,0.0,0.0,36.0,1860,6109.8,20.1,10.7,489.1,351.6173089998486
0,0.0,0.0,0.0,0.0,37.4,1820,6112.5,17.9,8.1,485.4,307.4637768251731
0,0.0,0.0,0.0,0.0,42.0,1850,6114.4,19.6,10.5,485.4,359.7967029995883
0,0.0,0.0,0.0,0.0,42.0,1900,6119.3,21.0,11.8,470.3,330.3623355003819
0,0.0,0.5,0.5,0.0,37.1,1920,6126.6,19.0,9.2,450.6,487.95106722431547
0,0.0,9.4,15.899999999999999,0.518,35.4,1940,6132.8,18.3,11.9,411.0,581.4196763004273
0,0.0,16.0,47.5,1.002,40.1,2000,6139.2,20.9,19.6,365.9,397.1679758001155
0,0.0,18.0,71.3,1.002,39.6,2030,6143.799999999999,23.2,26.5,332.2,560.7269071498562
0,0.0,18.9,81.0,1.002,40.7,2030,6145.6,25.0,29.9,320.3,711.9525590252775
0,0.0,19.3,74.6,1.002,45.2,2020,6147.4,24.7,27.7,302.5,642.2004449749604
0,0.0,16.1,55.1,1.002,41.4,2040,6150.8,23.7,24.4,287.40000000000003,583.4329256000783
0,0.0,10.7,25.3,0.918,35.9,2060,6153.7,20.9,15.0,290.6,712.7330369245752
0,0.0,1.5,1.6,0.0,30.5,1990,6157.6,15.2,3.7,320.0,750.7150374998585
0,0.0,0.0,0.0,0.0,25.799999999999997,1910,6162.3,6.1,-6.8,362.1,653.4102367003809
0,0.0,0.0,0.0,0.0,22.2,1820,6165.4,-3.4,-18.9,402.1,935.5533248750587
0,0.0,0.0,0.0,0.0,21.7,1780,6168.1,-6.6,-21.2,423.70000000000005,892.0777843247406
0,0.0,0.0,0.0,0.0,22.4,1800,6170.6,-10.7,-25.8,442.5,848.1895786748053
0,0.0,0.0,0.0,0.0,20.9,1800,6170.6,-11.7,-25.9,450.2,1250.2839895503964
0,0.0,0.0,0.0,0.0,20.1,1790,6170.700000000001,-12.2,-28.8,454.3,929.7085418248653
0,0.0,0.0,0.0,0.0,19.7,1700,6169.5,-14.899999999999999,-32.3,466.5,983.2471473497576
0,0.0,0.0,0.0,0.0,19.9,1690,6170.3,-17.1,-33.3,486.09999999999997,1024.6720122750758
0,0.0,0.0,0.0,0.0,16.8,1680,6171.799999999999,-17.5,-37.8,494.7,465.38890882514727
0,0.0,0.0,0.0,0.0,13.6,1670,6172.299999999999,-23.3,-40.3,516.7,378.44524212511004
0,0.0,0.0,0.0,0.0,9.5,1570,6171.8,-23.9,-41.9,523.6,310.30842727503205
0,0.0,0.0,0.0,0.0,11.4,1590,6170.5,-25.8,-43.1,534.8,271.44539572520875
0,0.0,0.0,0.0,0.0,9.7,1630,6169.2,-22.0,-41.6,521.4,318.3462014497846
0,0.0,0.0,0.0,0.0,12.8,1630,6168.4,-22.6,-40.0,520.4,547.9114082497885
